method,gamma,seed,final_loss,auc_loss
ringleader,0.001,26,2.366694165626541,148966.62321117584
ringleader,0.005,26,0.19232957506968607,126372.10847056971
ringleader,0.01,26,0.09160308662023997,410868.94620851515
ringleader,0.02,26,0.029063505926075983,1142039.582436614
ringleader,0.05,26,0.001547311782164551,123472804.18471006
ringleader,0.1,26,nan,nan
ringleader,0.2,26,nan,nan
malenia,0.02,26,0.018924916894153876,31592.235758163675
malenia,0.05,26,0.09168164936898737,91166.15989875013
malenia,0.1,26,0.3733718436184894,112944.40339813996
malenia,0.2,26,0.3735533875355692,104000.2263996948
malenia,0.5,26,0.09070427928598779,73850.41167505305
malenia,1.0,26,0.04902470039653295,510568.03628037276
malenia,1.5,26,0.2910936275594942,597879.8830075914
malenia,2.0,26,0.001414544465127135,1121005.686835124
iaasgd,0.001,26,0.3009676694483119,90644.93525773873
iaasgd,0.005,26,0.13544527783615568,65616.80359258933
iaasgd,0.01,26,7.999377987953494,187635.9311137685
iaasgd,0.02,26,0.021333311718137793,108182.59720959261
iaasgd,0.05,26,0.0008024880159982241,222645.84916443838
iaasgd,0.1,26,0.02019180621475969,1429127919452.1743
iaasgd,0.2,26,nan,nan
