method,gamma,seed,final_loss,auc_loss
ringleader,0.001,27,0.10976351797580719,43301.63886786226
ringleader,0.005,27,0.031982190907001495,21763.860679600468
ringleader,0.01,27,0.09924217313528061,57893.05464443897
ringleader,0.02,27,2.301053047180176,597073.1098532738
ringleader,0.05,27,2.19490122795105,1841987.2402673
ringleader,0.1,27,2.305246591567993,12222913.116834361
ringleader,0.2,27,2.3111557960510254,1164554475.0215251
malenia,0.02,27,0.20357824862003326,67068.13026626992
malenia,0.05,27,0.11880601942539215,45367.32285831175
malenia,0.1,27,0.07056117057800293,31815.446046470614
malenia,0.2,27,0.037021785974502563,21145.06192436332
malenia,0.5,27,0.019137408584356308,16555.461173383417
malenia,1.0,27,1.2638860940933228,225483.54056498688
malenia,2.0,27,2.0619118213653564,952650.8691337092
iaasgd,0.001,27,0.02045375481247902,15839.066274343064
iaasgd,0.005,27,0.016945620998740196,13093.879016785284
iaasgd,0.01,27,0.03801252692937851,27716.09563156796
iaasgd,0.02,27,1.4876987934112549,309542.86077546317
iaasgd,0.05,27,2.3012049198150635,461142.82062335836
iaasgd,0.1,27,2.456892728805542,488341.0017445295
iaasgd,0.2,27,3.7667593955993652,1293686.6882238956
